@> 847 atoms and 1 coordinate set(s) were parsed in 0.01s.
/home/nithin/data2/nithin/codex_work/resilient_interface/Upside_Desktop/py/upside_config.py:2403: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  ref_state_cor =  np.log(cPickle.load(open(args.reference_state_rama, 'rb'), encoding='latin1'))
invocation: /home/nithin/data2/nithin/codex_work/resilient_interface/Upside_Desktop/obj/upside --duration 10000 --frame-interval 50 --temperature 0.8 --seed 1 .//outputs/trans_cis/2qke_mon.run.up
random seed: 1
.//outputs/trans_cis/2qke_mon.run.up
n_atom 324


0 0.80

Initial potential energy: 59.10
 3850 / 10000 elapsed  0 system 0.80 temp  98.3 hbonds, Rg  13.6 A, potential  -156.22
 3900 / 10000 elapsed  0 system 0.80 temp  96.3 hbonds, Rg  13.8 A, potential  -153.71
 3950 / 10000 elapsed  0 system 0.80 temp  95.8 hbonds, Rg  13.8 A, potential  -180.27
 4000 / 10000 elapsed  0 system 0.80 temp  97.0 hbonds, Rg  14.0 A, potential  -162.48
 4050 / 10000 elapsed  0 system 0.80 temp  94.5 hbonds, Rg  14.2 A, potential  -145.85
 4100 / 10000 elapsed  0 system 0.80 temp  95.7 hbonds, Rg  14.6 A, potential  -133.44
 4150 / 10000 elapsed  0 system 0.80 temp  98.9 hbonds, Rg  13.9 A, potential  -158.09
 4200 / 10000 elapsed  0 system 0.80 temp  94.4 hbonds, Rg  14.0 A, potential  -124.62
 4250 / 10000 elapsed  0 system 0.80 temp  90.8 hbonds, Rg  13.7 A, potential  -144.68
 4300 / 10000 elapsed  0 system 0.80 temp  88.4 hbonds, Rg  14.1 A, potential  -132.70
 4350 / 10000 elapsed  0 system 0.80 temp  94.2 hbonds, Rg  14.2 A, potential  -114.50
 4400 / 10000 elapsed  0 system 0.80 temp  94.9 hbonds, Rg  14.1 A, potential   -88.08
 4450 / 10000 elapsed  0 system 0.80 temp  96.1 hbonds, Rg  14.1 A, potential  -123.94
 4500 / 10000 elapsed  0 system 0.80 temp  95.7 hbonds, Rg  14.1 A, potential  -110.36
 4550 / 10000 elapsed  0 system 0.80 temp  94.7 hbonds, Rg  14.2 A, potential  -160.96
 4600 / 10000 elapsed  0 system 0.80 temp 103.2 hbonds, Rg  13.8 A, potential  -144.46
 4650 / 10000 elapsed  0 system 0.80 temp  98.1 hbonds, Rg  14.0 A, potential  -197.08
 4700 / 10000 elapsed  0 system 0.80 temp  95.0 hbonds, Rg  14.4 A, potential  -142.29
 4750 / 10000 elapsed  0 system 0.80 temp 100.6 hbonds, Rg  13.9 A, potential  -149.36
 4800 / 10000 elapsed  0 system 0.80 temp  95.0 hbonds, Rg  14.0 A, potential  -161.03
 4850 / 10000 elapsed  0 system 0.80 temp  93.3 hbonds, Rg  13.8 A, potential  -158.05
 4900 / 10000 elapsed  0 system 0.80 temp  90.8 hbonds, Rg  13.7 A, potential  -114.98
 4950 / 10000 elapsed  0 system 0.80 temp  99.1 hbonds, Rg  14.4 A, potential  -150.20
 5000 / 10000 elapsed  0 system 0.80 temp  94.7 hbonds, Rg  14.1 A, potential  -182.63
 5050 / 10000 elapsed  0 system 0.80 temp  96.9 hbonds, Rg  14.3 A, potential  -152.21
 5100 / 10000 elapsed  0 system 0.80 temp  92.9 hbonds, Rg  14.1 A, potential  -155.24
 5150 / 10000 elapsed  0 system 0.80 temp  98.7 hbonds, Rg  14.1 A, potential  -116.92
 5200 / 10000 elapsed  0 system 0.80 temp  98.6 hbonds, Rg  14.2 A, potential  -108.95
 5250 / 10000 elapsed  0 system 0.80 temp 100.9 hbonds, Rg  13.9 A, potential  -132.05
 5300 / 10000 elapsed  0 system 0.80 temp  96.2 hbonds, Rg  14.1 A, potential  -137.74
 5350 / 10000 elapsed  0 system 0.80 temp 106.4 hbonds, Rg  13.9 A, potential  -160.43
 5400 / 10000 elapsed  0 system 0.80 temp 102.5 hbonds, Rg  13.9 A, potential  -174.77
 5450 / 10000 elapsed  0 system 0.80 temp  99.3 hbonds, Rg  14.0 A, potential  -157.63
 5500 / 10000 elapsed  0 system 0.80 temp  98.5 hbonds, Rg  13.7 A, potential  -170.50
 5550 / 10000 elapsed  0 system 0.80 temp 103.1 hbonds, Rg  14.2 A, potential  -122.27
 5600 / 10000 elapsed  0 system 0.80 temp  98.7 hbonds, Rg  13.7 A, potential  -161.77
 5650 / 10000 elapsed  0 system 0.80 temp  96.4 hbonds, Rg  14.0 A, potential  -107.16
 5700 / 10000 elapsed  0 system 0.80 temp  94.5 hbonds, Rg  13.8 A, potential  -107.14
 5750 / 10000 elapsed  0 system 0.80 temp  94.4 hbonds, Rg  13.9 A, potential  -144.30
 5800 / 10000 elapsed  0 system 0.80 temp  93.9 hbonds, Rg  14.4 A, potential  -145.17
 5850 / 10000 elapsed  0 system 0.80 temp  93.5 hbonds, Rg  14.2 A, potential   -92.84
 5900 / 10000 elapsed  0 system 0.80 temp  95.6 hbonds, Rg  14.1 A, potential  -154.68
 5950 / 10000 elapsed  0 system 0.80 temp  96.7 hbonds, Rg  13.9 A, potential  -156.65
