invocation: /home/rob/github/upside2-md/obj/upside --duration 5000 --frame-interval 50 --temperature 0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999 --seed 1 --disable-recentering .//outputs/pulling_test/1qhj.run.0.up .//outputs/pulling_test/1qhj.run.1.up .//outputs/pulling_test/1qhj.run.2.up .//outputs/pulling_test/1qhj.run.3.up .//outputs/pulling_test/1qhj.run.4.up .//outputs/pulling_test/1qhj.run.5.up .//outputs/pulling_test/1qhj.run.6.up .//outputs/pulling_test/1qhj.run.7.up
random seed: 1
.//outputs/pulling_test/1qhj.run.0.up
n_atom 684

.//outputs/pulling_test/1qhj.run.1.up
n_atom 684

.//outputs/pulling_test/1qhj.run.2.up
n_atom 684

.//outputs/pulling_test/1qhj.run.3.up
n_atom 684

.//outputs/pulling_test/1qhj.run.4.up
n_atom 684

.//outputs/pulling_test/1qhj.run.5.up
n_atom 684

.//outputs/pulling_test/1qhj.run.6.up
n_atom 684

.//outputs/pulling_test/1qhj.run.7.up
n_atom 684


0 0.80
1 0.80
2 0.80
3 0.80
4 0.80
5 0.80
6 0.80
7 0.80

 750 / 5000 elapsed  5 system 0.80 temp 300.0 hbonds, Rg  17.7 A, potential  -648.72
 750 / 5000 elapsed  0 system 0.80 temp 297.5 hbonds, Rg  18.1 A, potential  -595.86
 750 / 5000 elapsed  4 system 0.80 temp 305.6 hbonds, Rg  17.8 A, potential  -590.77
 750 / 5000 elapsed  7 system 0.80 temp 300.4 hbonds, Rg  18.0 A, potential  -580.06
 750 / 5000 elapsed  3 system 0.80 temp 307.1 hbonds, Rg  17.8 A, potential  -578.44
 750 / 5000 elapsed  2 system 0.80 temp 304.0 hbonds, Rg  17.7 A, potential  -624.37
 800 / 5000 elapsed  6 system 0.80 temp 286.2 hbonds, Rg  18.4 A, potential  -589.46
 800 / 5000 elapsed  1 system 0.80 temp 301.2 hbonds, Rg  18.0 A, potential  -581.87
 800 / 5000 elapsed  5 system 0.80 temp 295.9 hbonds, Rg  17.4 A, potential  -582.73
 800 / 5000 elapsed  0 system 0.80 temp 293.6 hbonds, Rg  18.1 A, potential  -594.68
 800 / 5000 elapsed  7 system 0.80 temp 304.5 hbonds, Rg  18.0 A, potential  -598.49
 800 / 5000 elapsed  4 system 0.80 temp 304.1 hbonds, Rg  17.6 A, potential  -584.93
 800 / 5000 elapsed  3 system 0.80 temp 300.4 hbonds, Rg  17.9 A, potential  -616.42
 800 / 5000 elapsed  2 system 0.80 temp 298.2 hbonds, Rg  17.8 A, potential  -601.27
 850 / 5000 elapsed  6 system 0.80 temp 295.2 hbonds, Rg  18.5 A, potential  -594.23
 850 / 5000 elapsed  5 system 0.80 temp 300.3 hbonds, Rg  17.6 A, potential  -651.23
 850 / 5000 elapsed  1 system 0.80 temp 300.2 hbonds, Rg  17.9 A, potential  -644.35
 850 / 5000 elapsed  0 system 0.80 temp 291.7 hbonds, Rg  18.0 A, potential  -603.26
 850 / 5000 elapsed  3 system 0.80 temp 307.5 hbonds, Rg  17.7 A, potential  -570.10
 850 / 5000 elapsed  7 system 0.80 temp 300.4 hbonds, Rg  18.0 A, potential  -580.27
 850 / 5000 elapsed  4 system 0.80 temp 293.2 hbonds, Rg  17.8 A, potential  -541.23
 900 / 5000 elapsed  6 system 0.80 temp 303.5 hbonds, Rg  18.5 A, potential  -527.70
 850 / 5000 elapsed  2 system 0.80 temp 306.3 hbonds, Rg  17.7 A, potential  -623.26
 900 / 5000 elapsed  5 system 0.80 temp 303.1 hbonds, Rg  17.7 A, potential  -599.80
 900 / 5000 elapsed  1 system 0.80 temp 290.6 hbonds, Rg  18.0 A, potential  -618.40
 900 / 5000 elapsed  3 system 0.80 temp 299.5 hbonds, Rg  17.8 A, potential  -571.51
 900 / 5000 elapsed  0 system 0.80 temp 285.7 hbonds, Rg  18.0 A, potential  -623.56
 900 / 5000 elapsed  4 system 0.80 temp 294.6 hbonds, Rg  17.9 A, potential  -592.67
 900 / 5000 elapsed  7 system 0.80 temp 300.6 hbonds, Rg  17.9 A, potential  -580.23
 950 / 5000 elapsed  6 system 0.80 temp 294.1 hbonds, Rg  18.5 A, potential  -560.37
 900 / 5000 elapsed  2 system 0.80 temp 293.2 hbonds, Rg  17.9 A, potential  -580.11
 950 / 5000 elapsed  5 system 0.80 temp 307.0 hbonds, Rg  17.5 A, potential  -629.56
 950 / 5000 elapsed  1 system 0.80 temp 303.4 hbonds, Rg  17.9 A, potential  -681.66
 950 / 5000 elapsed  3 system 0.80 temp 305.0 hbonds, Rg  17.8 A, potential  -630.71
 950 / 5000 elapsed  0 system 0.80 temp 292.2 hbonds, Rg  18.0 A, potential  -610.11
 950 / 5000 elapsed  4 system 0.80 temp 305.7 hbonds, Rg  17.7 A, potential  -617.52
 950 / 5000 elapsed  7 system 0.80 temp 305.3 hbonds, Rg  18.0 A, potential  -585.77
1000 / 5000 elapsed  6 system 0.80 temp 299.7 hbonds, Rg  18.2 A, potential  -536.31
 950 / 5000 elapsed  2 system 0.80 temp 310.0 hbonds, Rg  17.8 A, potential  -578.72
1000 / 5000 elapsed  5 system 0.80 temp 298.0 hbonds, Rg  17.7 A, potential  -577.98
1000 / 5000 elapsed  1 system 0.80 temp 299.9 hbonds, Rg  18.0 A, potential  -579.53
1000 / 5000 elapsed  4 system 0.80 temp 304.3 hbonds, Rg  17.9 A, potential  -568.06
1000 / 5000 elapsed  3 system 0.80 temp 296.7 hbonds, Rg  17.8 A, potential  -557.47
1000 / 5000 elapsed  0 system 0.80 temp 288.8 hbonds, Rg  18.0 A, potential  -549.48
1000 / 5000 elapsed  7 system 0.80 temp 305.5 hbonds, Rg  18.0 A, potential  -606.22
1000 / 5000 elapsed  2 system 0.80 temp 301.9 hbonds, Rg  17.9 A, potential  -619.10
1050 / 5000 elapsed  6 system 0.80 temp 296.0 hbonds, Rg  18.2 A, potential  -526.24
1050 / 5000 elapsed  5 system 0.80 temp 302.2 hbonds, Rg  17.6 A, potential  -583.29
1050 / 5000 elapsed  1 system 0.80 temp 292.8 hbonds, Rg  18.1 A, potential  -572.93
1050 / 5000 elapsed  4 system 0.80 temp 307.5 hbonds, Rg  17.9 A, potential  -594.96
1050 / 5000 elapsed  3 system 0.80 temp 305.7 hbonds, Rg  17.8 A, potential  -592.32
1050 / 5000 elapsed  0 system 0.80 temp 291.0 hbonds, Rg  17.8 A, potential  -618.20
1050 / 5000 elapsed  7 system 0.80 temp 309.6 hbonds, Rg  18.0 A, potential  -617.68
1050 / 5000 elapsed  2 system 0.80 temp 306.8 hbonds, Rg  17.6 A, potential  -668.90
1100 / 5000 elapsed  6 system 0.80 temp 303.8 hbonds, Rg  18.3 A, potential  -607.43
1100 / 5000 elapsed  5 system 0.80 temp 300.4 hbonds, Rg  17.6 A, potential  -579.48
1100 / 5000 elapsed  4 system 0.80 temp 306.9 hbonds, Rg  17.7 A, potential  -612.17
1100 / 5000 elapsed  1 system 0.80 temp 297.0 hbonds, Rg  17.8 A, potential  -645.31
1100 / 5000 elapsed  3 system 0.80 temp 302.2 hbonds, Rg  17.8 A, potential  -590.35
1100 / 5000 elapsed  0 system 0.80 temp 291.7 hbonds, Rg  18.0 A, potential  -570.29
1100 / 5000 elapsed  7 system 0.80 temp 304.7 hbonds, Rg  17.9 A, potential  -628.40
1100 / 5000 elapsed  2 system 0.80 temp 300.9 hbonds, Rg  17.8 A, potential  -582.57
1150 / 5000 elapsed  6 system 0.80 temp 290.8 hbonds, Rg  18.4 A, potential  -551.37
1150 / 5000 elapsed  5 system 0.80 temp 295.0 hbonds, Rg  17.4 A, potential  -635.10
1150 / 5000 elapsed  1 system 0.80 temp 302.3 hbonds, Rg  17.9 A, potential  -594.57
1150 / 5000 elapsed  4 system 0.80 temp 308.6 hbonds, Rg  17.9 A, potential  -584.98
1150 / 5000 elapsed  0 system 0.80 temp 286.5 hbonds, Rg  18.0 A, potential  -567.97
1150 / 5000 elapsed  7 system 0.80 temp 305.3 hbonds, Rg  17.9 A, potential  -597.46
1150 / 5000 elapsed  3 system 0.80 temp 301.4 hbonds, Rg  17.9 A, potential  -587.36
1200 / 5000 elapsed  6 system 0.80 temp 297.3 hbonds, Rg  18.1 A, potential  -553.43
1150 / 5000 elapsed  2 system 0.80 temp 306.3 hbonds, Rg  17.6 A, potential  -592.66
1200 / 5000 elapsed  5 system 0.80 temp 293.4 hbonds, Rg  17.8 A, potential  -643.29
1200 / 5000 elapsed  1 system 0.80 temp 297.8 hbonds, Rg  17.8 A, potential  -583.06
1200 / 5000 elapsed  0 system 0.80 temp 290.2 hbonds, Rg  18.1 A, potential  -617.84
1200 / 5000 elapsed  4 system 0.80 temp 308.6 hbonds, Rg  17.8 A, potential  -598.10
1200 / 5000 elapsed  3 system 0.80 temp 298.8 hbonds, Rg  17.8 A, potential  -539.54
1200 / 5000 elapsed  7 system 0.80 temp 301.0 hbonds, Rg  18.1 A, potential  -639.02
1250 / 5000 elapsed  6 system 0.80 temp 290.6 hbonds, Rg  18.2 A, potential  -614.04
